price,apartment_type,metro_station,minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation
36.0,Secondary,Тульская,27,2,94.2,55.0,21.0,7,8,Designer
3.65,Secondary,Чертановская,11,0,12.5,8.5,7.7,1,9,Cosmetic
35.0,Secondary,Серпуховская,12,4,90.5,63.1,11.0,6,8,Cosmetic
21.2,Secondary,Фили,13,2,45.9,27.7,13.7,9,16,European-style renovation
11.6688,New building,Братиславская,13,2,66.3,35.7,12.1,5,16,Cosmetic
12.76438,New building,Братиславская,13,2,71.71,33.3,14.5,11,16,Cosmetic
3.55,Secondary,Отрадное,19,0,13.5,9.0,7.8,1,9,Without renovation
69.235,Secondary,ЗИЛ,12,4,129.3,67.5,17.3,32,40,Without renovation
6.34,Secondary, Бауманская,15,1,15.4,9.9,7.9,1,4,Designer
13.4064,Secondary, Преображенская площадь,10,0,44.1,30.1,5.0,1,4,Designer
31.5,Secondary,Коньково,4,4,97.7,59.8,10.8,16,22,Cosmetic
23.5,Secondary,Шаболовская,8,3,72.6,50.0,7.0,3,5,Cosmetic
10.36988,New building,Депо,19,2,60.29,32.6,11.6,12,11,Cosmetic
10.4,Secondary,Озёрная,6,1,34.0,19.0,9.0,7,12,Cosmetic
8.25,Secondary,Солнцево,7,0,23.4,14.0,8.6,8,23,Cosmetic
11.3432,New building,Братиславская,13,2,64.45,34.7,12.0,5,16,Cosmetic
83.999,Secondary, Минская,28,5,135.0,20.0,17.8,7,14,Without renovation
13.15,Secondary,Щелковская,12,3,61.3,43.0,6.7,4,9,Cosmetic
22.0,Secondary, Шаболовская,15,2,55.8,15.6,27.6,5,12,Designer
15.93325,New building,Аннино,7,2,81.0,43.1,13.3,34,22,Cosmetic
10.1116,New building,Депо,19,2,59.48,32.2,11.6,4,11,Cosmetic
11.15684,New building,Депо,19,2,61.64,33.3,11.7,14,11,Cosmetic
49.37,Secondary,Фили,6,0,102.0,53.7,15.1,29,42,Without renovation
48.99,Secondary,Давыдково,21,4,219.0,99.0,30.0,25,25,Without renovation
3.85,Secondary,Гражданская,7,0,19.0,16.0,8.2,1,5,Without renovation
43.0,Secondary, Деловой центр,16,2,84.7,64.1,10.9,11,18,Designer
