price,apartment_type,metro_station,minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation
319.99,Secondary,Новослободская,8,6,300.0,153.8,40.0,6,13,European-style renovation
296.4,Secondary, Спортивная,7,5,228.0,117.4,25.5,6,12,Without renovation
252.9995,Secondary,Маяковская,12,5,298.0,152.8,31.3,5,15,European-style renovation
120.0,Secondary, Беговая,5,2,113.13,59.3,16.0,7,21,European-style renovation
299.0,Secondary,Октябрьская,9,5,272.0,139.6,15.0,7,16,European-style renovation
156.75,Secondary, Сокол,15,6,284.0,231.0,25.0,1,5,European-style renovation
96.6,Secondary, Давыдково,12,4,193.2,112.4,16.1,21,21,Designer
140.0,Secondary,Динамо,9,4,203.1,104.8,23.4,7,10,Designer
242.97,Secondary, Новокузнецкая,3,5,289.0,20.0,30.6,9,10,Without renovation
189.0,Secondary,Деловой центр,3,4,175.0,90.6,21.1,40,60,Designer
380.0,Secondary, Ломоносовский проспект,4,6,304.0,155.8,31.8,3,8,Without renovation
105.0,Secondary, Белорусская,6,3,145.0,75.4,18.6,3,6,Designer
342.0,Secondary, Парк Культуры,10,5,235.6,121.2,26.1,3,5,Without renovation
194.573,Secondary,Маяковская,9,4,197.0,117.0,23.0,6,6,Designer
275.0,Secondary, Белорусская,5,5,370.0,189.2,37.3,5,6,Designer
557.5845,Secondary, Улица 1905 года,6,5,359.5,189.2,51.6,21,21,Designer
160.0,Secondary,Улица 1905 года,10,4,163.4,84.7,20.2,11,18,Designer
180.0,Secondary, Белорусская,5,0,336.8,172.4,34.5,5,6,Without renovation
300.0,Secondary, Водный стадион,15,6,415.0,211.9,41.0,4,5,Designer
270.0,Secondary,Кропоткинская,10,7,310.0,183.0,28.0,2,5,Designer
165.42275,Secondary,Маяковская,10,7,235.0,120.9,26.1,5,7,European-style renovation
963.13635,Secondary,Киевская,15,6,454.6,295.0,35.0,7,7,Designer
175.0,Secondary,Минская,14,4,190.5,98.4,10.0,2,12,Designer
195.0,Secondary, Минская,10,5,232.0,18.7,25.8,4,7,Designer
110.85057,Secondary,Панфиловская,6,5,291.5,149.5,20.0,17,18,Designer
205.04,Secondary,Минская,10,5,232.0,170.0,25.0,4,7,European-style renovation
180.0,Secondary,Кропоткинская,4,6,330.0,150.0,50.0,7,7,Designer
